sample_id,n-Butylbenzene,n-Pentylbenzene,n-Hexylbenzene,n-Heptylbenzene,n-Octylbenzene,n-Nonylbenzene,n-Decylbenzene,n-Undecylbenzene,n-Dodecylbenzene,n-Tridecylbenzene,n-Tetradecylbenzene,n-Pentadecylbenzene,n-Hexadecylbenzene,n-Heptadecylbenzene,n-Octadecylbenzene,n-Nonadecylbenzene
surface control,1.539593389,0.767659327,0.228915375,1.823340877,6.80668772,15.69484634,19.67314124,22.9366472,15.22875453,0.281619404,6.625012329,8.393782272,0,0,0,0
subsurface control,0,0.181563752,0.180025523,0.87607871,5.113052749,15.07096363,23.16797613,21.58690442,13.83293288,1.092955438,5.746418176,7.834619847,2.969899513,2.346609239,0,0
