sample_id,C11,C12,C13,C14,C15,C16,Pristane,C17,Phytane,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
surface control,0,1.647121957,1.535723611,15.34317515,15.74175972,13.77797113,6.219121024,7.739600959,4.819954573,2.268209671,1.788441416,1.542438094,6.004686675,0.745960572,1.267331659,3.259584952,1.955870782,1.810407237,1.204196022,1.711425574,2.247601005,0.408802737,3.204520238,1.666849839,0.412538078,1.029035839,0.647671475
subsurface control,0.031092383,0.600522088,1.401637087,12.3897175,16.44326523,14.2614842,8.605459607,10.56870994,5.889530239,2.471257203,1.043098101,2.828264206,2.235165684,1.582825088,0.85813982,2.341134636,2.583270673,2.786157614,3.502500548,3.020576384,2.019520714,0.388637776,1.582359034,0.230045761,0.137887638,0.092976275,0.104764571
