sample_id,n-Hexylcyclohexane,n-Heptylcyclohexane,n-Octylcyclohexane,n-Nonylcyclohexane,n-Decylcyclohexane,n-Undecylcyclohexane,n-Dodecylcyclohexane,n-Tridecylcyclohexane,n-Tetradecylcyclohexane
surface control,0,3.131489892,14.10210198,16.21707878,46.58000825,10.40546923,6.112039736,3.451812139,0
subsurface control,0.162350871,2.588689642,10.38028756,15.35907427,47.98783465,9.762818185,7.557212095,3.611295192,2.590437524
